"","id","intervention","sex","age","educ","income"
"1",1,4,2,35,5,3
"2",2,1,1,59,1,1
"3",4,3,1,50,5,2
"4",5,2,2,58,5,2
"5",8,2,1,57,4,2
"6",11,2,1,56,5,1
"7",12,2,1,46,4,3
"8",13,4,1,34,5,3
"9",14,4,1,41,1,2
"10",18,2,1,40,5,2
"11",19,1,1,37,3,1
"12",22,4,1,29,4,2
"13",24,3,1,51,4,3
"14",27,4,1,34,4,3
"15",28,1,1,62,4,1
"16",31,1,1,58,4,2
"17",33,4,1,40,5,3
"18",36,1,1,45,4,1
"19",37,2,1,47,5,2
"20",38,3,1,50,4,3
"21",40,2,1,53,4,3
"22",41,4,1,50,2,2
"23",42,2,1,46,4,2
"24",43,3,1,24,4,3
"25",44,2,2,36,4,3
"26",45,2,1,36,4,2
"27",47,4,1,32,3,2
"28",48,2,1,42,3,1
"29",50,3,1,39,5,2
"30",52,3,2,52,5,3
"31",53,1,1,40,3,1
"32",56,4,1,56,3,2
"33",57,4,1,45,4,1
"34",61,4,1,43,4,2
"35",62,2,1,27,5,3
"36",64,1,1,39,3,2
"37",65,2,1,50,4,1
"38",66,2,1,51,5,3
"39",67,1,1,65,4,2
"40",72,4,1,37,5,3
"41",74,2,1,54,4,2
"42",77,1,1,37,5,2
"43",78,3,1,28,4,2
"44",79,4,1,54,3,2
"45",80,2,1,33,4,3
"46",83,4,1,71,2,1
"47",84,2,1,54,3,2
"48",92,3,1,60,5,3
"49",95,2,1,56,4,1
"50",98,2,1,65,3,1
"51",100,1,1,32,4,2
"52",101,4,1,60,5,3
"53",108,4,1,59,5,1
"54",111,4,1,63,5,2
"55",113,1,2,42,4,1
"56",114,1,1,71,4,1
"57",118,2,1,61,4,2
"58",119,3,1,38,5,2
"59",121,3,1,26,3,1
"60",124,4,1,62,2,1
"61",125,2,1,56,4,3
"62",126,2,1,40,5,2
"63",127,1,1,42,3,2
"64",128,4,1,46,5,3
"65",130,4,2,21,1,1
"66",131,2,1,48,5,2
"67",132,2,1,33,5,3
"68",134,1,1,52,4,1
"69",136,3,1,52,5,3
"70",137,2,2,47,5,3
"71",139,2,1,51,4,1
"72",141,2,2,67,5,2
"73",143,2,2,48,2,2
"74",144,1,1,57,5,2
"75",145,4,2,56,4,1
"76",147,2,1,36,2,1
"77",153,4,2,48,5,2
"78",155,3,2,71,4,1
"79",158,4,1,34,5,3
"80",159,4,1,44,4,1
"81",164,2,1,30,4,2
"82",166,4,1,56,5,3
"83",167,2,1,34,5,3
"84",168,2,1,42,2,1
"85",169,1,1,52,5,3
"86",175,1,1,46,3,2
"87",177,1,1,53,4,3
"88",178,1,1,31,5,2
"89",179,3,1,44,4,2
"90",182,3,1,55,5,3
"91",183,4,1,50,5,2
"92",184,3,1,60,5,2
"93",186,4,1,46,1,2
"94",187,1,1,52,5,2
"95",188,2,1,59,4,2
"96",189,2,1,47,5,1
"97",190,2,1,57,5,1
"98",191,2,1,53,5,1
"99",192,4,1,63,5,3
"100",194,2,1,41,1,2
"101",195,3,1,37,4,1
"102",199,1,1,28,4,3
"103",201,2,1,51,5,2
"104",203,1,1,54,5,1
"105",204,4,2,32,5,1
"106",205,1,2,41,4,3
"107",206,2,1,33,4,2
"108",207,3,1,50,5,3
"109",211,3,1,50,4,1
"110",214,3,1,35,4,2
"111",215,4,1,75,3,2
"112",217,4,2,46,2,3
"113",219,1,1,46,5,2
"114",221,3,1,51,5,2
"115",222,1,1,58,5,2
"116",226,2,1,42,4,1
"117",227,4,1,46,5,3
"118",229,4,1,48,3,2
"119",230,2,1,21,2,1
"120",235,2,2,18,2,1
"121",237,4,2,33,3,3
"122",238,4,1,30,5,2
"123",239,1,1,49,5,2
"124",240,3,1,49,2,3
"125",241,4,1,40,5,3
"126",242,4,1,30,5,1
"127",243,4,2,26,4,2
"128",244,2,1,77,3,2
"129",245,4,1,29,2,1
"130",248,2,1,29,4,1
"131",249,1,1,30,4,3
"132",251,4,2,31,5,2
"133",254,3,1,27,5,2
"134",256,2,1,53,3,2
"135",257,1,1,62,5,2
"136",258,3,1,36,4,2
"137",259,4,1,54,4,3
"138",265,2,1,52,1,3
"139",270,4,1,30,5,3
"140",273,3,1,55,5,2
"141",276,1,1,37,5,2
"142",278,4,1,56,3,2
"143",281,4,2,67,4,2
"144",282,1,1,43,2,2
"145",283,2,1,39,4,2
"146",287,2,1,43,4,2
"147",292,4,1,47,4,2
